Appl,Browser,CLDR Short Name,Code,DCM,FB,GMail,Goog,Joy,KDDI,SB,Sams,Twtr,Wind,№
275,U+1F926,🤦,,,,,,,,—,—,—,—,person facepalming
276,U+1F926 U+200D U+2642 U+FE0F,🤦‍♂️,,,,,,,,—,—,—,—,man facepalming
277,U+1F926 U+200D U+2640 U+FE0F,🤦‍♀️,,,,,,,,—,—,—,—,woman facepalming
278,U+1F937,🤷,,,,,,,,—,—,—,—,person shrugging
279,U+1F937 U+200D U+2642 U+FE0F,🤷‍♂️,,,,,,,,—,—,—,—,man shrugging
280,U+1F937 U+200D U+2640 U+FE0F,🤷‍♀️,,,,,,,,—,—,—,—,woman shrugging
person-role,person-role,person-role,person-role,person-role,person-role,person-role,person-role,person-role,person-role,person-role,person-role,person-role,person-role,person-role
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
281,U+1F9D1 U+200D U+2695 U+FE0F,🧑‍⚕️,,,—,—,,,—,—,—,—,—,health worker
282,U+1F468 U+200D U+2695 U+FE0F,👨‍⚕️,,,,,,,,—,—,—,—,man health worker
283,U+1F469 U+200D U+2695 U+FE0F,👩‍⚕️,,,,,,,,—,—,—,—,woman health worker
284,U+1F9D1 U+200D U+1F393,🧑‍🎓,,,—,—,,,—,—,—,—,—,student
285,U+1F468 U+200D U+1F393,👨‍🎓,,,,,,,,—,—,—,—,man student
286,U+1F469 U+200D U+1F393,👩‍🎓,,,,,,,,—,—,—,—,woman student
287,U+1F9D1 U+200D U+1F3EB,🧑‍🏫,,,—,—,,,—,—,—,—,—,teacher
288,U+1F468 U+200D U+1F3EB,👨‍🏫,,,,,,,,—,—,—,—,man teacher
289,U+1F469 U+200D U+1F3EB,👩‍🏫,,,,,,,,—,—,—,—,woman teacher
290,U+1F9D1 U+200D U+2696 U+FE0F,🧑‍⚖️,,,—,—,,,—,—,—,—,—,judge
291,U+1F468 U+200D U+2696 U+FE0F,👨‍⚖️,,,,,,,,—,—,—,—,man judge
292,U+1F469 U+200D U+2696 U+FE0F,👩‍⚖️,,,,,,,,—,—,—,—,woman judge
293,U+1F9D1 U+200D U+1F33E,🧑‍🌾,,,—,—,,,—,—,—,—,—,farmer
294,U+1F468 U+200D U+1F33E,👨‍🌾,,,,,,,,—,—,—,—,man farmer
295,U+1F469 U+200D U+1F33E,👩‍🌾,,,,,,,,—,—,—,—,woman farmer
296,U+1F9D1 U+200D U+1F373,🧑‍🍳,,,—,—,,,—,—,—,—,—,cook
297,U+1F468 U+200D U+1F373,👨‍🍳,,,,,,,,—,—,—,—,man cook
298,U+1F469 U+200D U+1F373,👩‍🍳,,,,,,,,—,—,—,—,woman cook
299,U+1F9D1 U+200D U+1F527,🧑‍🔧,,,—,—,,,—,—,—,—,—,mechanic
300,U+1F468 U+200D U+1F527,👨‍🔧,,,,,,,,—,—,—,—,man mechanic
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
301,U+1F469 U+200D U+1F527,👩‍🔧,,,,,,,,—,—,—,—,woman mechanic
302,U+1F9D1 U+200D U+1F3ED,🧑‍🏭,,,—,—,,,—,—,—,—,—,factory worker
303,U+1F468 U+200D U+1F3ED,👨‍🏭,,,,,,,,—,—,—,—,man factory worker
304,U+1F469 U+200D U+1F3ED,👩‍🏭,,,,,,,,—,—,—,—,woman factory worker
305,U+1F9D1 U+200D U+1F4BC,🧑‍💼,,,—,—,,,—,—,—,—,—,office worker
306,U+1F468 U+200D U+1F4BC,👨‍💼,,,,,,,,—,—,—,—,man office worker
307,U+1F469 U+200D U+1F4BC,👩‍💼,,,,,,,,—,—,—,—,woman office worker
308,U+1F9D1 U+200D U+1F52C,🧑‍🔬,,,—,—,,,—,—,—,—,—,scientist
309,U+1F468 U+200D U+1F52C,👨‍🔬,,,,,,,,—,—,—,—,man scientist
310,U+1F469 U+200D U+1F52C,👩‍🔬,,,,,,,,—,—,—,—,woman scientist
311,U+1F9D1 U+200D U+1F4BB,🧑‍💻,,,—,—,,,—,—,—,—,—,technologist
312,U+1F468 U+200D U+1F4BB,👨‍💻,,,,,,,,—,—,—,—,man technologist
313,U+1F469 U+200D U+1F4BB,👩‍💻,,,,,,,,—,—,—,—,woman technologist
314,U+1F9D1 U+200D U+1F3A4,🧑‍🎤,,,—,—,,,—,—,—,—,—,singer
315,U+1F468 U+200D U+1F3A4,👨‍🎤,,,,,,,,—,—,—,—,man singer
316,U+1F469 U+200D U+1F3A4,👩‍🎤,,,,,,,,—,—,—,—,woman singer
317,U+1F9D1 U+200D U+1F3A8,🧑‍🎨,,,—,—,,,—,—,—,—,—,artist
318,U+1F468 U+200D U+1F3A8,👨‍🎨,,,,,,,,—,—,—,—,man artist
319,U+1F469 U+200D U+1F3A8,👩‍🎨,,,,,,,,—,—,—,—,woman artist
320,U+1F9D1 U+200D U+2708 U+FE0F,🧑‍✈️,,,—,—,,,—,—,—,—,—,pilot
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
321,U+1F468 U+200D U+2708 U+FE0F,👨‍✈️,,,,,,,,—,—,—,—,man pilot
322,U+1F469 U+200D U+2708 U+FE0F,👩‍✈️,,,,,,,,—,—,—,—,woman pilot
323,U+1F9D1 U+200D U+1F680,🧑‍🚀,,,—,—,,,—,—,—,—,—,astronaut
324,U+1F468 U+200D U+1F680,👨‍🚀,,,,,,,,—,—,—,—,man astronaut
325,U+1F469 U+200D U+1F680,👩‍🚀,,,,,,,,—,—,—,—,woman astronaut
326,U+1F9D1 U+200D U+1F692,🧑‍🚒,,,—,—,,,—,—,—,—,—,firefighter
327,U+1F468 U+200D U+1F692,👨‍🚒,,,,,,,,—,—,—,—,man firefighter
328,U+1F469 U+200D U+1F692,👩‍🚒,,,,,,,,—,—,—,—,woman firefighter
329,U+1F46E,👮,,,,,,,,,,—,,police officer
330,U+1F46E U+200D U+2642 U+FE0F,👮‍♂️,,,,,,,,—,—,—,—,man police officer
331,U+1F46E U+200D U+2640 U+FE0F,👮‍♀️,,,,,,,,—,—,—,—,woman police officer
332,U+1F575,🕵,,,,,,,,—,—,—,—,detective
333,U+1F575 U+FE0F U+200D U+2642 U+FE0F,🕵️‍♂️,,,,,,,,—,—,—,—,man detective
334,U+1F575 U+FE0F U+200D U+2640 U+FE0F,🕵️‍♀️,,,,,,,,—,—,—,—,woman detective
335,U+1F482,💂,,,,,,,,,,—,—,guard
336,U+1F482 U+200D U+2642 U+FE0F,💂‍♂️,,,,,,,,—,—,—,—,man guard
337,U+1F482 U+200D U+2640 U+FE0F,💂‍♀️,,,,,,,,—,—,—,—,woman guard
338,U+1F977,🥷,,,—,—,,,—,—,—,—,—,ninja
339,U+1F477,👷,,,,,,,,,,—,,construction worker
340,U+1F477 U+200D U+2642 U+FE0F,👷‍♂️,,,,,,,,—,—,—,—,man construction worker
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
341,U+1F477 U+200D U+2640 U+FE0F,👷‍♀️,,,,,,,,—,—,—,—,woman construction worker
342,U+1FAC5,🫅,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ person with crown
343,U+1F934,🤴,,,,,,,,—,—,—,—,prince
344,U+1F478,👸,,,,,,,,,,—,,princess
345,U+1F473,👳,,,,,,,,,,—,,person wearing turban
346,U+1F473 U+200D U+2642 U+FE0F,👳‍♂️,,,,,,,,—,—,—,—,man wearing turban
347,U+1F473 U+200D U+2640 U+FE0F,👳‍♀️,,,,,,,,—,—,—,—,woman wearing turban
348,U+1F472,👲,,,,,,,,,,—,,person with skullcap
349,U+1F9D5,🧕,,,,,,,,—,—,—,—,woman with headscarf
350,U+1F935,🤵,,,,,,,,—,—,—,—,person in tuxedo
351,U+1F935 U+200D U+2642 U+FE0F,🤵‍♂️,,,—,—,,,—,—,—,—,—,man in tuxedo
352,U+1F935 U+200D U+2640 U+FE0F,🤵‍♀️,,,—,—,,,—,—,—,—,—,woman in tuxedo
353,U+1F470,👰,,,,,,,,,—,—,,person with veil
354,U+1F470 U+200D U+2642 U+FE0F,👰‍♂️,,,—,—,,,—,—,—,—,—,man with veil
355,U+1F470 U+200D U+2640 U+FE0F,👰‍♀️,,,—,—,,,—,—,—,—,—,woman with veil
356,U+1F930,🤰,,,,,,,,—,—,—,—,pregnant woman
357,U+1FAC3,🫃,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ pregnant man
358,U+1FAC4,🫄,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ pregnant person
359,U+1F931,🤱,,,,,,,,—,—,—,—,breast-feeding
360,U+1F469 U+200D U+1F37C,👩‍🍼,,,—,—,,,—,—,—,—,—,woman feeding baby
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
361,U+1F468 U+200D U+1F37C,👨‍🍼,,,—,—,,,—,—,—,—,—,man feeding baby
362,U+1F9D1 U+200D U+1F37C,🧑‍🍼,,,—,—,,,—,—,—,—,—,person feeding baby
person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy,person-fantasy
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
363,U+1F47C,👼,,,,,,,,,,—,,baby angel
364,U+1F385,🎅,,,,,,,,,,—,,Santa Claus
365,U+1F936,🤶,,,,,,,,—,—,—,—,Mrs. Claus
366,U+1F9D1 U+200D U+1F384,🧑‍🎄,,,—,—,,,—,—,—,—,—,mx claus
367,U+1F9B8,🦸,,,,,,,,—,—,—,—,superhero
368,U+1F9B8 U+200D U+2642 U+FE0F,🦸‍♂️,,,,,,,,—,—,—,—,man superhero
369,U+1F9B8 U+200D U+2640 U+FE0F,🦸‍♀️,,,,,,,,—,—,—,—,woman superhero
370,U+1F9B9,🦹,,,,,,,,—,—,—,—,supervillain
371,U+1F9B9 U+200D U+2642 U+FE0F,🦹‍♂️,,,,,,,,—,—,—,—,man supervillain
372,U+1F9B9 U+200D U+2640 U+FE0F,🦹‍♀️,,,,,,,,—,—,—,—,woman supervillain
373,U+1F9D9,🧙,,,,,,,,—,—,—,—,mage
374,U+1F9D9 U+200D U+2642 U+FE0F,🧙‍♂️,,,,,,,,—,—,—,—,man mage
375,U+1F9D9 U+200D U+2640 U+FE0F,🧙‍♀️,,,,,,,,—,—,—,—,woman mage
376,U+1F9DA,🧚,,,,,,,,—,—,—,—,fairy
377,U+1F9DA U+200D U+2642 U+FE0F,🧚‍♂️,,,,,,,,—,—,—,—,man fairy
378,U+1F9DA U+200D U+2640 U+FE0F,🧚‍♀️,,,,,,,,—,—,—,—,woman fairy
379,U+1F9DB,🧛,,,,,,,,—,—,—,—,vampire
380,U+1F9DB U+200D U+2642 U+FE0F,🧛‍♂️,,,,,,,,—,—,—,—,man vampire
381,U+1F9DB U+200D U+2640 U+FE0F,🧛‍♀️,,,,,,,,—,—,—,—,woman vampire
382,U+1F9DC,🧜,,,,,,,,—,—,—,—,merperson
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
383,U+1F9DC U+200D U+2642 U+FE0F,🧜‍♂️,,,,,,,,—,—,—,—,merman
384,U+1F9DC U+200D U+2640 U+FE0F,🧜‍♀️,,,,,,,,—,—,—,—,mermaid
385,U+1F9DD,🧝,,,,,,,,—,—,—,—,elf
386,U+1F9DD U+200D U+2642 U+FE0F,🧝‍♂️,,,,,,,,—,—,—,—,man elf
387,U+1F9DD U+200D U+2640 U+FE0F,🧝‍♀️,,,,,,,,—,—,—,—,woman elf
388,U+1F9DE,🧞,,,,,,,,—,—,—,—,genie
389,U+1F9DE U+200D U+2642 U+FE0F,🧞‍♂️,,,,,,,,—,—,—,—,man genie
390,U+1F9DE U+200D U+2640 U+FE0F,🧞‍♀️,,,,,,,,—,—,—,—,woman genie
391,U+1F9DF,🧟,,,,,,,,—,—,—,—,zombie
392,U+1F9DF U+200D U+2642 U+FE0F,🧟‍♂️,,,,,,,,—,—,—,—,man zombie
393,U+1F9DF U+200D U+2640 U+FE0F,🧟‍♀️,,,,,,,,—,—,—,—,woman zombie
394,U+1F9CC,🧌,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ troll
person-activity,person-activity,person-activity,person-activity,person-activity,person-activity,person-activity,person-activity,person-activity,person-activity,person-activity,person-activity,person-activity,person-activity,person-activity
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
395,U+1F486,💆,,,,,,,,,,—,,person getting massage
396,U+1F486 U+200D U+2642 U+FE0F,💆‍♂️,,,,,,,,—,—,—,—,man getting massage
397,U+1F486 U+200D U+2640 U+FE0F,💆‍♀️,,,,,,,,—,—,—,—,woman getting massage
398,U+1F487,💇,,,,,,,,,,—,,person getting haircut
399,U+1F487 U+200D U+2642 U+FE0F,💇‍♂️,,,,,,,,—,—,—,—,man getting haircut
400,U+1F487 U+200D U+2640 U+FE0F,💇‍♀️,,,,,,,,—,—,—,—,woman getting haircut
401,U+1F6B6,🚶,,,,,,,,,,—,,person walking
402,U+1F6B6 U+200D U+2642 U+FE0F,🚶‍♂️,,,,,,,,—,—,—,—,man walking
403,U+1F6B6 U+200D U+2640 U+FE0F,🚶‍♀️,,,,,,,,—,—,—,—,woman walking
404,U+1F9CD,🧍,,,,,,,,—,—,—,—,person standing
405,U+1F9CD U+200D U+2642 U+FE0F,🧍‍♂️,,,,—,,,,—,—,—,—,man standing
406,U+1F9CD U+200D U+2640 U+FE0F,🧍‍♀️,,,,—,,,,—,—,—,—,woman standing
407,U+1F9CE,🧎,,,,,,,,—,—,—,—,person kneeling
408,U+1F9CE U+200D U+2642 U+FE0F,🧎‍♂️,,,,—,,,,—,—,—,—,man kneeling
409,U+1F9CE U+200D U+2640 U+FE0F,🧎‍♀️,,,,—,,,,—,—,—,—,woman kneeling
410,U+1F9D1 U+200D U+1F9AF,🧑‍🦯,,,—,—,,,—,—,—,—,—,person with white cane
411,U+1F468 U+200D U+1F9AF,👨‍🦯,,,,—,,,,—,—,—,—,man with white cane
412,U+1F469 U+200D U+1F9AF,👩‍🦯,,,,—,,,,—,—,—,—,woman with white cane
413,U+1F9D1 U+200D U+1F9BC,🧑‍🦼,,,—,—,,,—,—,—,—,—,person in motorized wheelchair
414,U+1F468 U+200D U+1F9BC,👨‍🦼,,,,,,,,—,—,—,—,man in motorized wheelchair
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
415,U+1F469 U+200D U+1F9BC,👩‍🦼,,,,,,,,—,—,—,—,woman in motorized wheelchair
416,U+1F9D1 U+200D U+1F9BD,🧑‍🦽,,,—,—,,,—,—,—,—,—,person in manual wheelchair
417,U+1F468 U+200D U+1F9BD,👨‍🦽,,,,,,,,—,—,—,—,man in manual wheelchair
418,U+1F469 U+200D U+1F9BD,👩‍🦽,,,,,,,,—,—,—,—,woman in manual wheelchair
419,U+1F3C3,🏃,,,,,,,,,,,,person running
420,U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,,,,,,,,—,—,—,—,man running
421,U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,,,,,,,,—,—,—,—,woman running
422,U+1F483,💃,,,,,,,,,,—,,woman dancing
423,U+1F57A,🕺,,,,,,,,—,—,—,—,man dancing
424,U+1F574,🕴,,,,,,,,—,—,—,—,person in suit levitating
425,U+1F46F,👯,,,,,,,,,,—,,people with bunny ears
426,U+1F46F U+200D U+2642 U+FE0F,👯‍♂️,,,,,,,,—,—,—,—,men with bunny ears
427,U+1F46F U+200D U+2640 U+FE0F,👯‍♀️,,,,,,,,—,—,—,—,women with bunny ears
428,U+1F9D6,🧖,,,,,,,,—,—,—,—,person in steamy room
429,U+1F9D6 U+200D U+2642 U+FE0F,🧖‍♂️,,,,,,,,—,—,—,—,man in steamy room
430,U+1F9D6 U+200D U+2640 U+FE0F,🧖‍♀️,,,,,,,,—,—,—,—,woman in steamy room
431,U+1F9D7,🧗,,,,,,,,—,—,—,—,person climbing
432,U+1F9D7 U+200D U+2642 U+FE0F,🧗‍♂️,,,,,,,,—,—,—,—,man climbing
433,U+1F9D7 U+200D U+2640 U+FE0F,🧗‍♀️,,,,,,,,—,—,—,—,woman climbing
person-sport,person-sport,person-sport,person-sport,person-sport,person-sport,person-sport,person-sport,person-sport,person-sport,person-sport,person-sport,person-sport,person-sport,person-sport
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
434,U+1F93A,🤺,,,,,,,,—,—,—,—,person fencing
435,U+1F3C7,🏇,,,,,,,,—,—,—,—,horse racing
436,U+26F7,⛷,,,,,,,,—,—,—,—,skier
437,U+1F3C2,🏂,,,,,,,,,—,,,snowboarder
438,U+1F3CC,🏌,,,,,,,,—,—,—,—,person golfing
439,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,🏌️‍♂️,,,,,,,,—,—,—,—,man golfing
440,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,🏌️‍♀️,,,,,,,,—,—,—,—,woman golfing
441,U+1F3C4,🏄,,,,,,,,,,—,,person surfing
442,U+1F3C4 U+200D U+2642 U+FE0F,🏄‍♂️,,,,,,,,—,—,—,—,man surfing
443,U+1F3C4 U+200D U+2640 U+FE0F,🏄‍♀️,,,,,,,,—,—,—,—,woman surfing
444,U+1F6A3,🚣,,,,,,,,—,—,—,—,person rowing boat
445,U+1F6A3 U+200D U+2642 U+FE0F,🚣‍♂️,,,,,,,,—,—,—,—,man rowing boat
446,U+1F6A3 U+200D U+2640 U+FE0F,🚣‍♀️,,,,,,,,—,—,—,—,woman rowing boat
447,U+1F3CA,🏊,,,,,,,,,,—,,person swimming
448,U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,,,,,,,,—,—,—,—,man swimming
449,U+1F3CA U+200D U+2640 U+FE0F,🏊‍♀️,,,,,,,,—,—,—,—,woman swimming
450,U+26F9,⛹,,,,,,,,—,—,—,—,person bouncing ball
451,U+26F9 U+FE0F U+200D U+2642 U+FE0F,⛹️‍♂️,,,,,,,,—,—,—,—,man bouncing ball
452,U+26F9 U+FE0F U+200D U+2640 U+FE0F,⛹️‍♀️,,,,,,,,—,—,—,—,woman bouncing ball
453,U+1F3CB,🏋,,,,,,,,—,—,—,—,person lifting weights
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
454,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,🏋️‍♂️,,,,,,,,—,—,—,—,man lifting weights
455,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,🏋️‍♀️,,,,,,,,—,—,—,—,woman lifting weights
456,U+1F6B4,🚴,,,,,,,,—,—,—,—,person biking
457,U+1F6B4 U+200D U+2642 U+FE0F,🚴‍♂️,,,,,,,,—,—,—,—,man biking
458,U+1F6B4 U+200D U+2640 U+FE0F,🚴‍♀️,,,,,,,,—,—,—,—,woman biking
459,U+1F6B5,🚵,,,,,,,,—,—,—,—,person mountain biking
460,U+1F6B5 U+200D U+2642 U+FE0F,🚵‍♂️,,,,,,,,—,—,—,—,man mountain biking
461,U+1F6B5 U+200D U+2640 U+FE0F,🚵‍♀️,,,,,,,,—,—,—,—,woman mountain biking
462,U+1F938,🤸,,,,,,,,—,—,—,—,person cartwheeling
463,U+1F938 U+200D U+2642 U+FE0F,🤸‍♂️,,,,,,,,—,—,—,—,man cartwheeling
464,U+1F938 U+200D U+2640 U+FE0F,🤸‍♀️,,,,,,,,—,—,—,—,woman cartwheeling
465,U+1F93C,🤼,,,,,,,,—,—,—,—,people wrestling
466,U+1F93C U+200D U+2642 U+FE0F,🤼‍♂️,,,,,,,,—,—,—,—,men wrestling
467,U+1F93C U+200D U+2640 U+FE0F,🤼‍♀️,,,,,,,,—,—,—,—,women wrestling
468,U+1F93D,🤽,,,,,,,,—,—,—,—,person playing water polo
469,U+1F93D U+200D U+2642 U+FE0F,🤽‍♂️,,,,,,,,—,—,—,—,man playing water polo
470,U+1F93D U+200D U+2640 U+FE0F,🤽‍♀️,,,,,,,,—,—,—,—,woman playing water polo
471,U+1F93E,🤾,,,,,,,,—,—,—,—,person playing handball
472,U+1F93E U+200D U+2642 U+FE0F,🤾‍♂️,,,,,,,,—,—,—,—,man playing handball
473,U+1F93E U+200D U+2640 U+FE0F,🤾‍♀️,,,,,,,,—,—,—,—,woman playing handball
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
474,U+1F939,🤹,,,,,,,,—,—,—,—,person juggling
475,U+1F939 U+200D U+2642 U+FE0F,🤹‍♂️,,,,,,,,—,—,—,—,man juggling
476,U+1F939 U+200D U+2640 U+FE0F,🤹‍♀️,,,,,,,,—,—,—,—,woman juggling
person-resting,person-resting,person-resting,person-resting,person-resting,person-resting,person-resting,person-resting,person-resting,person-resting,person-resting,person-resting,person-resting,person-resting,person-resting
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
477,U+1F9D8,🧘,,,,,,,,—,—,—,—,person in lotus position
478,U+1F9D8 U+200D U+2642 U+FE0F,🧘‍♂️,,,,,,,,—,—,—,—,man in lotus position
479,U+1F9D8 U+200D U+2640 U+FE0F,🧘‍♀️,,,,,,,,—,—,—,—,woman in lotus position
480,U+1F6C0,🛀,,,,,,,,,,—,,person taking bath
481,U+1F6CC,🛌,,,,,,,,—,—,—,—,person in bed
family,family,family,family,family,family,family,family,family,family,family,family,family,family,family
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
482,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,🧑‍🤝‍🧑,,,,,,,,—,—,—,—,people holding hands
483,U+1F46D,👭,,,,,,,,—,—,—,—,women holding hands
484,U+1F46B,👫,,,,,,,,,,—,—,woman and man holding hands
485,U+1F46C,👬,,,,,,,,—,—,—,—,men holding hands
486,U+1F48F,💏,,,,,,,,,,—,,kiss
487,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👩‍❤️‍💋‍👨,,,,,,,,—,—,—,—,"kiss: woman, man"
488,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👨‍❤️‍💋‍👨,,,,,,,,—,—,—,—,"kiss: man, man"
489,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,👩‍❤️‍💋‍👩,,,,,,,,—,—,—,—,"kiss: woman, woman"
490,U+1F491,💑,,,,,,,,,,—,,couple with heart
491,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,👩‍❤️‍👨,,,,,,,,—,—,—,—,"couple with heart: woman, man"
492,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,👨‍❤️‍👨,,,,,,,,—,—,—,—,"couple with heart: man, man"
493,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,👩‍❤️‍👩,,,,,,,,—,—,—,—,"couple with heart: woman, woman"
494,U+1F46A,👪,,,,,,,,,—,—,,family
495,U+1F468 U+200D U+1F469 U+200D U+1F466,👨‍👩‍👦,,,,,,,,—,—,—,—,"family: man, woman, boy"
496,U+1F468 U+200D U+1F469 U+200D U+1F467,👨‍👩‍👧,,,,,,,,—,—,—,—,"family: man, woman, girl"
497,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👨‍👩‍👧‍👦,,,,,,,,—,—,—,—,"family: man, woman, girl, boy"
498,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👨‍👩‍👦‍👦,,,,,,,,—,—,—,—,"family: man, woman, boy, boy"
499,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👨‍👩‍👧‍👧,,,,,,,,—,—,—,—,"family: man, woman, girl, girl"
500,U+1F468 U+200D U+1F468 U+200D U+1F466,👨‍👨‍👦,,,,,,,,—,—,—,—,"family: man, man, boy"
501,U+1F468 U+200D U+1F468 U+200D U+1F467,👨‍👨‍👧,,,,,,,,—,—,—,—,"family: man, man, girl"
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
502,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👨‍👧‍👦,,,,,,,,—,—,—,—,"family: man, man, girl, boy"
503,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👨‍👦‍👦,,,,,,,,—,—,—,—,"family: man, man, boy, boy"
504,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👨‍👧‍👧,,,,,,,,—,—,—,—,"family: man, man, girl, girl"
505,U+1F469 U+200D U+1F469 U+200D U+1F466,👩‍👩‍👦,,,,,,,,—,—,—,—,"family: woman, woman, boy"
506,U+1F469 U+200D U+1F469 U+200D U+1F467,👩‍👩‍👧,,,,,,,,—,—,—,—,"family: woman, woman, girl"
507,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👩‍👧‍👦,,,,,,,,—,—,—,—,"family: woman, woman, girl, boy"
508,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👩‍👦‍👦,,,,,,,,—,—,—,—,"family: woman, woman, boy, boy"
509,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👩‍👧‍👧,,,,,,,,—,—,—,—,"family: woman, woman, girl, girl"
510,U+1F468 U+200D U+1F466,👨‍👦,,,,,,,,—,—,—,—,"family: man, boy"
511,U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👦‍👦,,,,,,,,—,—,—,—,"family: man, boy, boy"
512,U+1F468 U+200D U+1F467,👨‍👧,,,,,,,,—,—,—,—,"family: man, girl"
513,U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👧‍👦,,,,,,,,—,—,—,—,"family: man, girl, boy"
514,U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👧‍👧,,,,,,,,—,—,—,—,"family: man, girl, girl"
515,U+1F469 U+200D U+1F466,👩‍👦,,,,,,,,—,—,—,—,"family: woman, boy"
516,U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👦‍👦,,,,,,,,—,—,—,—,"family: woman, boy, boy"
517,U+1F469 U+200D U+1F467,👩‍👧,,,,,,,,—,—,—,—,"family: woman, girl"
518,U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👧‍👦,,,,,,,,—,—,—,—,"family: woman, girl, boy"
519,U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👧‍👧,,,,,,,,—,—,—,—,"family: woman, girl, girl"
person-symbol,person-symbol,person-symbol,person-symbol,person-symbol,person-symbol,person-symbol,person-symbol,person-symbol,person-symbol,person-symbol,person-symbol,person-symbol,person-symbol,person-symbol
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
520,U+1F5E3,🗣,,,,,,,,—,—,—,—,speaking head
521,U+1F464,👤,,,,,,,,,—,,—,bust in silhouette
522,U+1F465,👥,,,,,,,,—,—,—,—,busts in silhouette
523,U+1FAC2,🫂,,,—,—,,,—,—,—,—,—,people hugging
